"entitles","enextracts","detitles","deextracts"
"Perl","Perl is a family of high-level, general-purpose, interpreted, dynamic programming languages. The languages in this family include Perl 5 and Perl 6.
Though Perl is not officially an acronym, there are various backronyms in use, the most well-known being ""Practical Extraction and Reporting Language"". Perl was originally developed by Larry Wall in 1987 as a general-purpose Unix scripting language to make report processing easier. Since then, it has undergone many changes and revisions. Perl 6, which began as a redesign of Perl 5 in 2000, eventually evolved into a separate language. Both languages continue to be developed independently by different development teams and liberally borrow ideas from one another.
The Perl languages borrow features from other programming languages including C, shell scripting (sh), AWK, and sed. They provide powerful text processing facilities without the arbitrary data-length limits of many contemporary Unix commandline tools, facilitating easy manipulation of text files. Perl 5 gained widespread popularity in the late 1990s as a CGI scripting language, in part due to its unsurpassed regular expression and string parsing abilities.
In addition to CGI, Perl 5 is used for graphics programming, system administration, network programming, finance, bioinformatics, and other applications. It has been nicknamed ""the Swiss Army chainsaw of scripting languages"" because of its flexibility and power, and possibly also because of its ""ugliness"". In 1998, it was also referred to as the ""duct tape that holds the Internet together"", in reference to both its ubiquitous use as a glue language and its perceived inelegance.","Perl (Programmiersprache)","Perl [pɝːl] ist eine freie, plattformunabhängige und interpretierte Programmiersprache (Skriptsprache), die mehrere Programmierparadigmen unterstützt.
Der Linguist Larry Wall entwarf sie 1987 als Synthese aus C, awk, den Unix-Befehlen und anderen Einflüssen. Ursprünglich als Werkzeug zur Verarbeitung und Manipulation von Textdateien insbesondere bei System- und Netzwerkadministration vorgesehen (zum Beispiel Auswertung von Logdateien), hat Perl auch bei der Entwicklung von Webanwendungen und in der Bioinformatik weite Verbreitung gefunden. Traditionell vertreten ist Perl auch in der Finanzwelt, vor allem bei der Verarbeitung von Datenströmen verschiedenartiger Nachrichtenquellen. Hauptziele sind eine schnelle Problemlösung und größtmögliche Freiheit für Programmierer. Die Bearbeitung von Texten mit Hilfe regulärer Ausdrücke sowie viele frei verfügbare Module, die an einem zentralen Ort (CPAN) gesammelt werden, sind Stärken der Sprache."
"Tcllib","Tcllib is a collection of packages available for the Tcl programming language. Tcllib is distributed in both source code as well as pre-compiled binary formats. Tcllib supports a variety of common operating systems such as Windows, BSD, Unix and Linux.","Tcllib","Tcllib ist eine der populärsten Bibliotheken zur Programmiersprache Tcl. Sie enthält eine Reihe Funktionen unter anderem für Internet-bezogene, mathematische und programmiertechnische Alltagsaufgaben und ist selbst vollständig in Tcl geschrieben."
"Go (programming language)","Go, also commonly referred to as golang, is a programming language initially developed at Google in 2007 by Robert Griesemer, Rob Pike, and Ken Thompson. It is a statically-typed language with syntax loosely derived from that of C, adding garbage collection, type safety, some dynamic-typing capabilities, additional built-in types such as variable-length arrays and key-value maps, and a large standard library.
The language was announced in November 2009 and is now used in some of Google's production systems. Go's ""gc"" compiler targets the Linux, Mac OS X, FreeBSD, NetBSD, OpenBSD, Plan 9, and Microsoft Windows operating systems and the i386, amd64, ARM and IBM POWER processor architectures. A second compiler, gccgo, is a GCC frontend.","Go (Programmiersprache)","Go ist eine kompilierbare Programmiersprache, die Nebenläufigkeit unterstützt und über eine automatische Speicherbereinigung verfügt. Entwickelt wurde Go von Mitarbeitern des Unternehmens Google Inc. Die Entwürfe stammen von Robert Griesemer, Rob Pike und Ken Thompson."
"COBOL","COBOL (/ˈkoʊbɒl/, an acronym for common business-oriented language) is a compiled English-like computer programming language designed for business use. It is imperative, procedural and, since 2002, object-oriented. COBOL is primarily used in business, finance, and administrative systems for companies and governments. In 1997, Gartner Group estimated that there were a total of 200 billion lines of COBOL in existence which ran 80% of all business programs. COBOL is still widely used in legacy applications deployed on mainframe computers, such as large-scale batch and transaction processing jobs. But due to its declining popularity and the retirement of experienced COBOL programmers, programs are being migrated to new platforms, rewritten in modern languages or replaced with software packages. Most programming in COBOL is now purely to maintain existing applications.
COBOL was designed in 1959 by the Conference on Data Systems Languages (CODASYL) and was largely based on previous programming language design work by Grace Hopper, commonly referred to as ""the (grand)mother of COBOL"". It was created as part of a US Department of Defense effort to create a portable programming language for data processing. Intended as a temporary stopgap, the Department of Defense promptly forced computer manufacturers to provide it, resulting in its widespread adoption. It was standardized in 1968 and has since been revised four times. Expansions include support for structured and object-oriented programming. The current standard is ISO/IEC 1989:2014.
COBOL has an English-like syntax which was designed to be self-documenting and highly readable. However, it is verbose and uses over 300 reserved words. In contrast with modern, succinct syntax like y = x;, COBOL has a more English-like syntax (in this case, MOVE x TO y). COBOL code is split into four divisions (identification, environment, data and procedure) containing a rigid hierarchy of sections, paragraphs and sentences. Lacking a large standard library, the standard specifies 43 statements, 87 functions and just one class.
Academic computer scientists were generally uninterested in business applications when COBOL was created, and were not involved in its design. COBOL has been criticized throughout its life for its verbosity, design process and poor support for structured programming, which resulted in monolithic and incomprehensible programs.","COBOL","COBOL ist eine Programmiersprache, die in der Frühzeit der Computerentwicklung, Ende der 1950er-Jahre, entstand und bis heute verwendet wird. Der Stil dieser Programmiersprache ist stark an die natürliche Sprache angelehnt und dient vor allem der Programmierung kaufmännischer Anwendungen.
Die Abkürzung COBOL steht für „Common Business Oriented Language“."
"ML (programming language)","ML is a general-purpose functional programming language developed by Robin Milner and others in the early 1970s at the University of Edinburgh, whose syntax is inspired by ISWIM. Historically, ML stands for metalanguage: it was conceived to develop proof tactics in the LCF theorem prover (whose language, pplambda, a combination of the first-order predicate calculus and the simply typed polymorphic lambda calculus, had ML as its metalanguage). It is known for its use of the Hindley–Milner type inference algorithm, which can automatically infer the types of most expressions without requiring explicit type annotations. Additionally, the use of this algorithm ensures type safety—there is a formal proof that a well-typed ML program does not cause runtime type errors.","ML (Programmiersprache)","Meta Language (ML) beschreibt eine Familie funktionaler Programmiersprachen mit statischer Typisierung, Polymorphie, automatischer Speicherbereinigung und im Allgemeinen strenger Auswertung. ML ist allerdings keine rein funktionale Sprache wie Haskell, sondern erlaubt an manchen Stellen auch imperative Konstrukte und Wirkungen, beispielsweise für Dateizugriffe.
ML wurde 1973 von Robin Milner an der Universität Edinburgh als Teil eines Theorem-Beweis-Programms LCF (Logic of Computable Functions) entwickelt, welches automatisiert die Korrektheit von Programmen beweisen sollte. Seither hat sich ML zu einer vollständigen und eigenständigen Programmiersprache entwickelt, die insbesondere im wissenschaftlichen Umfeld verwendet wird. Die Sprache wird an einigen Universitäten als primäre Programmiersprache gelehrt."
"Haus am Horn","The Haus am Horn was built for the Weimar Bauhaus's exhibition of July through September 1923. It was designed by Georg Muche, a painter and a teacher at the Bauhaus. Other Bauhaus instructors, such as Adolf Meyer and Walter Gropius, assisted with the technical aspects of the house's design. Gropius stated that the goal of the house's construction was ""the greatest comfort with the greatest economy by the application of the best craftsmanship and the best distribution of space in form, size, and articulation."" The house's construction was financed by Sommerfeld, a Berlin lumber merchant, who had been a client of Gropius years before. The house was built away from the main section of the Bauhaus, on land that was being used as a vegetable garden for the school. The site is currently near the Park an der Ilm in Weimar, on a residential street.
It was a simple cubic design, utilizing steel and concrete in its construction. At the center of the house was a clerestory-lit living room, twenty-feet square, with specialized rooms surrounding it. Gropius described the room's design: ""in each room, function is important, e.g. the kitchen is the most practical and simple of kitchens -- but it is not possible to use it as a dining room as well. Each room has its own definite character which suits its purpose."" Each room had specially-designed furnishings and hardware designed by and created in the Bauhaus workshops. László Moholy-Nagy, for instance, designed the lights and were made in the metal workshop; Marcel Breuer, a student at the time, designed the furniture, including the built-in cabinetry.
Owing to the Bauhaus's financial difficulties, the Haus am Horn was sold to a private individual in 1924.
In 1996, it entered onto the monument preservation list of UNESCO and was declared a 20th-century world heritage site.
In 1998-1999, the structure was evaluated for restoration by the Bauhaus University Circle of Friends (Freundeskreis der Bauhaus-Universität Weimar).
On the occasion of the Bauhaus‘s 80th anniversary, the house was completely restored by the Bauhaus University Circle of Friends with support from the Sparkasse Finance Group and several public donors.","Musterhaus Am Horn","Das Musterhaus „Am Horn“ ist ein in Weimar errichtetes Versuchshaus des Bauhauses. Anlass zum Bau dieses Hauses war die erste Bauhaus-Ausstellung vom 15. August bis 30. September 1923. 1922, vier Jahre nach Kriegsende und drei Jahre nach der offiziellen Gründung des Bauhauses unter der Trägerschaft (und Finanzierung) des damaligen Landes Thüringen, wollte das Landesparlament die ersten Ergebnisse der neuen Hochschule sehen. Das Bauhaus selbst hielt diesen Zeitpunkt für zu verfrüht, um schon etwas mehr als Konturen des neuen und zu diesem Zeitpunkt noch weltweit einzigartigem pädagogischen Systems vorzuzeigen. Trotzdem konzentrierte der Bauhaus-Chef Walter Gropius die Kräfte der Hochschule auf die Ausrichtung einer ersten Ausstellung.
Eingeleitet wurde die Ausstellung von der so genannten Bauhauswoche, ein kulturelles Großereignis im Stile eines Festivals, die sehr großen Anklang fand. Gropius eröffnete die Bauhauswoche mit einem Vortrag über Kunst und Technik – eine neue Einheit. Es folgten Vorträge von Kandinsky (Über synthetische Kunst) und dem holländischen Architekten Oud über die Entwicklung der modernen niederländischen Baukunst. Im Deutschen Nationaltheater wurde Schlemmers Triadisches Ballett aufgeführt nebst einem Konzert mit sechs Klavierstücken (darunter vier Uraufführungen) von Busoni und der Erstaufführung der Marienlieder von Hindemith; im Jenaer Theater war Kurt Schmidts Mechanisches Ballett zu sehen. Eine Matinee brachte am Abschlusstag unter der Leitung von Scherchen die Wiederholung der Erstaufführung von Strawinskis Geschichte vom Soldaten. Der Tag klang mit Lampionfest, Feuerwerk, Tanz und der Vorführung der Reflektarischen Lichtspiele von Hirschfeld-Mack aus.
Die Presse war von dem Ereignis begeistert und ermutigte das Bauhaus zum Weitermachen. Auch wenn der wirtschaftliche Erfolg zunächst ausblieb – die Lebenskraft der Ideen des Bauhauses war bewiesen."
"Rüdesheim am Rhein","Rüdesheim am Rhein is a winemaking town in the Rhine Gorge and thereby part of the UNESCO World Heritage Site. It lies in the Rheingau-Taunus-Kreis district in the Regierungsbezirk of Darmstadt in Hesse, Germany. It is officially known as Rüdesheim am Rhein, which distinguishes it from Rüdesheim an der Nahe.

","Rüdesheim am Rhein","Rüdesheim am Rhein ist eine Weinstadt im Rheingau und liegt mit dem gegenüberliegenden Bingen am südlichen Tor zum Mittelrheintal. Rüdesheim gehört mit zum UNESCO-Welterbe Oberes Mittelrheintal. Es liegt im hessischen Rheingau-Taunus-Kreis, am Fuß des Niederwaldes. Die Stadt gehört zum Rhein-Main-Gebiet und ist eine der bekanntesten Touristen-Attraktionen Deutschlands."
"Hack (programming language)","Hack is a programming language for the HipHop Virtual Machine (HHVM), created by Facebook as a dialect of PHP. The language implementation is open source, licensed under the BSD License.
Hack allows programmers to use both dynamic typing and static typing. This kind of a type system is called gradual typing, which is also implemented in other programming languages such as ActionScript. Hack's type system allows types to be specified for function arguments, function return values, and class properties; however, types of local variables cannot be specified.

","Hack (Programmiersprache)","Hack ist eine Neuimplementierung der Skriptsprache PHP für die HipHop Virtual Machine (HHVM). Entwickelt wurde Hack von der Facebook Inc., die bereits seit einigen Jahren schrittweise ihr ursprünglich in PHP geschriebenes Social Network Facebook auf die neue Sprache Hack umstellt, da die ursprüngliche Verwendung von PHP zusammen mit der Zend Engine die hohen Performanceanforderungen von Facebook nicht mehr befriedigen konnte. Anfang April 2014 wurde die neue Sprache von Facebook Inc. offiziell vorgestellt und als Open Source frei verfügbar gemacht. Obwohl jeglicher PHP-Code auch unter dem Hackcompiler kompiliert werden kann, handelt es sich bei Hack jedoch um eine weitestgehende Neuentwicklung auf Basis von PHP."
"Objective-C","Objective-C is a general-purpose, object-oriented programming language that adds Smalltalk-style messaging to the C programming language. It is the main programming language used by Apple for the OS X and iOS operating systems, and their respective application programming interfaces (APIs), Cocoa and Cocoa Touch.
The programming language Objective-C was originally developed in the early 1980s. It was selected as the main language used by NeXT for its NeXTSTEP operating system, from which OS X and iOS are derived. Generic Objective-C programs that do not use the Cocoa or Cocoa Touch libraries, or those using parts that may be ported or reimplemented for other systems, can also be compiled for any system supported by GCC or Clang.
Objective-C source code program files usually have .m filename extensions, while Objective-C header files have .h extensions, the same as for C header files. Objective-C++ files are denoted with a .mm file extension.","Objective-C","Objective-C, auch kurz ObjC genannt, erweitert die Programmiersprache C um Sprachmittel zur objektorientierten Programmierung. Objective-C ist eine strikte Obermenge von C, das bedeutet, dass jedes C-Programm mit einem Objective-C-Compiler kompiliert werden kann. Objective-C ist die primäre Sprache von Cocoa (Mac OS X) und GNUstep.
Die Syntax und Konzeption der objektorientierten Erweiterungen ist an Smalltalk angelehnt und von der gewöhnlichen prozeduralen C-Syntax strikt getrennt. Diese Trennung erlaubt es, dasselbe Erweiterungskonzept auf andere imperative Sprachen anzuwenden; so gibt es etwa Objective Pascal und Objective-J. Objective-C++ erlaubt teilweise die Mischung von Objective-C mit C++-Code mit dem Ziel, älteren Code verwenden zu können.
Unter den im TIOBE-Index erfassten Sprachen konnte Objective-C in den Jahren 2011 und 2012 den größten Zuwachs verzeichnen und erhielt deshalb zweimal in Folge den Titel Sprache des Jahres."
"Martin Luther's Birth House","Martin Luther's Birth House (German: Martin Luthers Geburtshaus) is a museum in Eisleben, Germany. Unfortunately the actual house in which Luther was born no longer exists, it having been burnt completely to the ground in 1689.
The German religious reformer Martin Luther was born there in 1483. Opened to the public in 1693, it is a World Heritage Site. In 2005-2007 an expansion was added for visitors (project: Springer Architekten, Berlin); the ensemble has since received five architectural awards.
From 1533 to his death in 1546, Martin Luther served as the dean of theology at University of Wittenberg. During this time he suffered from many illnesses, including arthritis, heart problems and digestive disorders, and the physical pain and emotional strain of being a fugitive might have been reflected in his writings. Some works contained strident and offensive language against several segments of society, particularly Jews and Muslims. During a trip to his hometown of Eisleben, he died on February 18, 1546, at age 62.
Legacy
Martin Luther is one of the most influential and controversial figures in the Reformation movement. His actions fractured the Roman Catholic Church into new sects of Christianity and set in motion reform within the Church. A prominent theologian, his desire for people to feel closer to God led him to translate the Bible into the language of the people, radically changing the relationship between church leaders and their followers.","Martin Luthers Geburtshaus","Bei dem sogenannten Luther-Geburtshaus handelt es sich um ein Memorialgebäude in der Lutherstadt Eisleben für den christlichen Reformator Martin Luther, der an dieser Stelle am 10. November 1483 geboren worden sein soll. 1693 erbaut gehört es zu den ältesten Museen Deutschlands und ist UNESCO-Welterbe. Es befindet sich in der Lutherstraße 16. Der historische Name der Lutherstraße lautete bis 1872 Lange Gasse."
